아름다운 배경과정직한 마음의 표현이 만든완벽한 사랑영화그냥 육체적인 영화가 아님너무 아름다고 눈물나는 영화,10
반전에반전.. 보는내내 긴장하며 봤네요,8
오랜시간이 지나도 기억에 남을 영화입니다,10
설리 가족은 하나다 크~,10
어설픔이 많이 느껴지는 액션영화.,4
"전우치  1년에 3번은 보는 팬인데요,우연히 티ㅇ에서 보고  왜 흥행하지못했나 싶었어요!!  연기들도 너무 좋고 전우치 그리운마음 채울 수가 없었는데 충족되고스토리도 그래픽도 좋았는데 마케팅이 부족한것 같다는 생각이 들었어요  이런 작품이 있는 줄 오늘 알았거든요ㅠ 넘 아쉽죠..  안았음 스크린으로 봤을건데, . 2부 꼭 볼게요  ㅠㅠ 기다리는 팬입니다!!!",10
"역사적 기록에 대한 의문점을 가지고, 상상력을 더해 스토리를 풀어나가, 스릴과 흥미를 같이 느낄 수 있는 영화였던 것 같음. 연출, 배우들의 연기, 빠른 전개의 스토리, 긴장감을 더하는 배경음 등등의 조화가 이루어져, 영화에 한 층 더 몰입 할 수 있었고, 반전의 반전을 더하는 스토리였기 때문에 계속해서 놀람의 연속이었음. 개인적으로 영화 관람 전에.. 역사적 사실에 대한 간단한 상식 등등을 미리 알아 보면, 어디 까지가 &amp;#39;역사적 사실&amp;#39;인지, 어디 까지가 &amp;#39;상상력을 더한 허구&amp;#39; 인지 쉽게 구분 할 수 있어 더 흥미롭게 관람 할 수 있겠다고 생각함. 결과적으로 너무 재미있었고, 정말 시간 가는 줄 모를 만큼 몰입해서 보게 되었으며 또 역사적 기록을 바탕으로 상상력을 더한 이 작품에서 창의력이 대박인 것 같다고 생각함.",10
두 배우의 연기가 짜릿할 만큼 훌륭했고 두사람의 뜻대로 현실에도 쭈욱 이어졌으면 더욱 더 좋았을 영화.  개성공단이 폐쇄되고 금강산관광이 끊어진 작금의 남북간 대치국면이 안타까움을 더하게 한다. ,10
뮤지컬도 봤지만 영화 영상미도 감동가득♡많은 분들이 보셨으면 좋겠네요.이왕이면 사운드빵빵한 곳에서...저는 일반관에서 봤는데 뮤지컬비해 음악이 조금 작은듯해서 아쉬웠어요,10
정말 너무 재밌어요.지루할 틈이 없었어요.주연배우님들 연기도 다 좋았어요.,10
